# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 258 and 259; PDF pages 268 and 269; Figures 161, 162, and 163
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
monohull,free,trim,8,988.99,2937.57,0.323312,-0.0772778,degree,0.003,0.03000,162
monohull,free,trim,9,1048.77,2929.75,0.352026,-0.0218254,degree,0.003,0.03000,162
monohull,free,trim,10,1107.35,2869.27,0.380158,0.4067461,degree,0.003,0.03000,162
monohull,free,trim,11,1166.16,2787.87,0.408403,0.9836066,degree,0.003,0.03000,162
monohull,free,trim,12,1223.75,2734.14,0.436061,1.3643273,degree,0.003,0.03000,162
monohull,free,trim,13,1282.05,2661.39,0.464057,1.8799450,degree,0.003,0.03000,162
monohull,free,trim,14,1339.77,2621.83,0.491776,2.1602731,degree,0.003,0.03000,162
monohull,free,trim,15,1397.43,2604.10,0.519471,2.2858894,degree,0.003,0.03000,162
monohull,free,trim,16,1454.57,2583.29,0.546913,2.4334083,degree,0.003,0.03000,162
monohull,free,trim,17,1472.24,2569.86,0.555397,2.5285200,degree,0.003,0.03000,162
monohull,free,trim,18,1549.72,2556.85,0.592611,2.6207480,degree,0.003,0.03000,162
monohull,free,trim,19,1628.42,2556.52,0.630406,2.6230786,degree,0.003,0.03000,162
monohull,free,trim,20,1745.16,2553.01,0.686471,2.6479429,degree,0.003,0.03000,162
monohull,free,trim,21,1859.94,2544.30,0.741592,2.7096703,degree,0.003,0.03000,162
monohull,free,trim,22,1975.29,2523.32,0.796993,2.8583586,degree,0.003,0.03000,162
monohull,free,trim,23,2094.62,2498.50,0.854298,3.0342520,degree,0.003,0.03000,162
monohull,free,trim,24,2213.84,2469.44,0.911554,3.2402006,degree,0.003,0.03000,162
monohull,free,trim,25,2315.52,2452.17,0.960388,3.3625984,degree,0.003,0.03000,162
monohull,free,sinkage_over_draught,1,588.00,2884.00,0.130736,0.0100787,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,2,591.00,2902.00,0.132177,0.0058268,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,3,606.00,2873.00,0.139381,0.0126772,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,4,644.00,2871.00,0.157631,0.0131496,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,5,649.00,2889.00,0.160032,0.0088976,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,6,653.00,2919.00,0.161953,0.0018110,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,7,702.00,2871.00,0.185486,0.0131496,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,8,704.00,2891.00,0.186446,0.0084252,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,9,723.00,2858.00,0.195571,0.0162205,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,10,752.00,2867.00,0.209498,0.0140945,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,11,758.00,2844.00,0.212380,0.0195276,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,12,798.00,2849.00,0.231590,0.0183465,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,13,799.00,2878.00,0.232070,0.0114961,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,14,817.00,2811.00,0.240715,0.0273228,dimensionless,0.003,0.00100,162
monohull,free,sinkage_over_draught,15,818.00,2829.00,0.241195,0.0230709,dimensionless,0.003,0.00100,162
