attitude,configuration,observable,figure,mismatch,resolution,x_px,y_px
fixed,s_l_0_4,cwp,142,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,606.000,3313.000
fixed,s_l_0_4,cwp,142,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,667.000,3313.000
fixed,s_l_0_4,cwp,142,pass_a_missing,accepted_pass_b_after_source_curve_recheck,779.439,3292.032
fixed,s_l_0_4,cwp,142,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1896.958,3034.563
fixed,s_l_0_4,cwp,142,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1916.000,3049.000
fixed,s_l_0_5,ct,143,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,711.540,1243.320
fixed,s_l_0_5,ct,143,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,721.670,1262.610
fixed,s_l_0_5,ct,143,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,743.670,1263.310
fixed,s_l_0_5,ct,143,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,760.200,1272.740
fixed,s_l_0_5,ct,143,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1111.697,1137.681
fixed,s_l_0_5,cwp,144,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,620.000,3302.000
fixed,s_l_0_5,cwp,144,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,658.000,3302.000
fixed,s_l_0_5,cwp,144,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1245.552,2922.930
fixed,s_l_0_5,cwp,144,pass_a_missing,accepted_pass_b_after_source_curve_recheck,2097.955,3025.216
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,652.060,1202.780
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,669.920,1237.680
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,677.170,1249.460
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,710.530,1225.180
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,725.470,1247.900
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,763.390,1224.800
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,821.980,1214.470
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,826.170,1255.560
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,835.690,1223.580
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,849.100,1233.000
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,858.400,1254.460
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,888.120,1240.070
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,921.050,1194.950
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,941.840,1190.400
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,951.460,1160.660
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,969.830,1163.570
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,971.360,1144.900
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,987.700,1156.760
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1021.910,1174.070
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1047.620,1167.960
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1076.640,1166.470
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1088.790,624.790
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1101.660,1145.920
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1118.560,628.550
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1123.580,1127.840
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1137.040,629.620
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1148.880,1108.810
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1231.490,904.330
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1241.340,855.930
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1266.230,876.780
free,monohull,ct,161,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,2323.470,1146.290
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,643.000,1521.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,701.000,1511.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,753.000,1504.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,792.000,1483.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,816.000,1468.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,839.000,1455.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,849.000,1474.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,872.000,1466.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,882.000,1439.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,930.000,1384.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,941.000,1365.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,963.000,1354.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,989.000,1335.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,992.000,1373.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1015.000,1352.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1046.000,1344.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1068.000,1328.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1103.000,1309.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1139.000,1261.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1163.000,1212.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1189.000,1163.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1221.000,1099.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1223.000,1068.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1232.000,1117.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1248.000,1041.000
free,monohull,cwp,163,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1327.647,878.474
free,monohull,cwp,163,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1374.145,970.969
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,2312.000,1331.000
free,monohull,cwp,163,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,2313.000,1371.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,588.000,2884.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,591.000,2902.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,644.000,2871.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,653.000,2919.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,702.000,2871.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,704.000,2891.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,752.000,2867.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,758.000,2844.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,799.000,2878.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,817.000,2811.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,947.000,2784.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,983.000,2767.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1042.000,2745.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1046.000,2696.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1108.000,2663.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1167.000,2591.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1236.000,2549.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1286.000,2549.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1305.000,2568.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1354.000,2575.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1397.000,2575.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1399.000,2594.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1475.000,2600.000
free,monohull,sinkage_over_draught,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,2315.000,2759.000
free,monohull,trim,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1454.570,2583.290
free,monohull,trim,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1472.240,2569.860
free,monohull,trim,162,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,2315.520,2452.170
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,593.880,1231.120
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,721.000,1232.360
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,761.650,1265.150
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,773.730,1271.620
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,808.130,1273.220
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,809.600,1259.460
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,829.110,1246.680
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,836.140,1190.760
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,839.750,1174.220
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,846.480,1226.000
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,855.000,1186.540
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,860.250,1166.600
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,868.840,1184.160
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,875.810,1232.390
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,888.620,1238.100
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,888.830,1255.540
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,902.590,1257.260
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,924.180,1215.650
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,946.970,1188.190
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,953.310,1160.000
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,971.710,1053.780
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1001.580,1007.300
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1016.500,1213.200
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1017.500,1004.000
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1041.500,1073.710
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1060.450,1309.320
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1094.370,1160.260
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1098.050,684.920
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1126.280,1173.610
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1136.450,1122.530
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1145.400,1094.960
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1145.450,689.220
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1148.300,1054.280
free,s_l_0_2,ct,165,independent_pass_missing,excluded_conservatively_without_second_glyph_assignment,1162.640,1064.590
free,s_l_0_2,ct,165,pass_a_missing,accepted_pass_b_after_source_curve_recheck,1182.403,958.372
