configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CT	uncertainty_Fn	uncertainty_CT	quality
C2-free-SL0.3	169	272	262	CT	1576.334	808.984	0.594108	0.00893247	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1611.996	869.189	0.611145	0.00845878	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1653.702	892.450	0.631068	0.00827576	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1701.494	947.221	0.653898	0.00784484	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1721.409	952.281	0.663412	0.00780503	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1798.322	973.957	0.700154	0.00763448	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1799.981	1003.304	0.700946	0.00740358	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1882.438	1039.764	0.740337	0.00711673	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1965.984	1049.496	0.780247	0.00704016	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	1997.586	1078.756	0.795344	0.00680994	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	169	272	262	CT	2115.124	1090.838	0.851493	0.00671489	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	988.549	1180.576	0.325856	0.00527033	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	991.445	1085.928	0.327234	0.00601795	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1010.656	1174.612	0.336378	0.00531744	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1023.784	1093.097	0.342626	0.00596132	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1043.212	1188.738	0.351872	0.00520586	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1044.146	1076.208	0.352317	0.00609473	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1057.554	1150.595	0.358699	0.00550714	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1069.660	1020.187	0.364460	0.00653723	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1099.129	959.405	0.378485	0.00701734	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1109.549	1094.126	0.383445	0.00595319	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1114.255	878.635	0.385684	0.00765534	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1139.697	768.521	0.397794	0.00852511	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1161.246	735.343	0.408049	0.00878718	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1161.756	700.413	0.408292	0.00906309	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1207.182	615.992	0.429912	0.00972992	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1219.774	617.867	0.435905	0.00971511	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1235.196	556.562	0.443245	0.01019935	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1256.946	577.332	0.453597	0.01003529	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1268.414	535.895	0.459055	0.01036260	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1277.903	569.130	0.463571	0.01010008	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1302.475	544.168	0.475266	0.01029725	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1328.127	584.060	0.487474	0.00998215	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1350.230	569.464	0.497994	0.01009744	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1441.793	649.259	0.541572	0.00946715	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1463.970	686.961	0.552127	0.00916934	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1509.969	715.856	0.574020	0.00894111	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1539.015	758.796	0.587844	0.00860193	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1577.677	778.064	0.606245	0.00844973	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1625.791	809.312	0.629144	0.00820291	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1648.129	828.941	0.639776	0.00804786	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1709.417	867.779	0.668945	0.00774108	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1723.937	873.355	0.675856	0.00769703	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1786.518	903.202	0.705641	0.00746128	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1810.611	912.644	0.717107	0.00738670	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1859.006	931.695	0.740140	0.00723622	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1905.560	930.375	0.762297	0.00724665	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1967.868	987.267	0.791952	0.00679726	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	1993.115	974.231	0.803968	0.00690023	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	2074.575	986.888	0.842738	0.00680025	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	2140.966	1000.299	0.874336	0.00669432	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	2198.863	1018.746	0.901892	0.00654861	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	2210.880	1013.519	0.907611	0.00658990	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	2260.079	1035.001	0.931026	0.00642021	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.4	173	274	264	CT	2282.280	1035.062	0.941593	0.00641973	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	887.907	1181.201	0.276716	0.00593637	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	916.827	1147.209	0.290494	0.00620338	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.5	177	276	266	CT	932.343	1137.856	0.297887	0.00627686	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
