configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	sinkage_over_draught	uncertainty_Fn	uncertainty_sinkage_over_draught	quality
C2-free-SL0.2	166	270	260	sinkage_over_draught	1249.553	2388.165	0.449678	0.1427398	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1294.863	2392.079	0.471485	0.1418181	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1323.320	2418.989	0.485181	0.1354814	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1343.383	2460.280	0.494837	0.1257581	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1385.397	2503.397	0.515057	0.1156050	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1392.014	2528.583	0.518242	0.1096743	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1469.860	2635.651	0.555708	0.0844621	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1510.375	2675.392	0.575207	0.0751040	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1542.788	2696.279	0.590807	0.0701856	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1568.700	2718.820	0.603278	0.0648775	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1620.642	2744.905	0.628277	0.0587351	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1621.553	2724.059	0.628715	0.0636440	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1681.794	2774.342	0.657709	0.0518034	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1809.063	2810.277	0.718961	0.0433413	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.2	166	270	260	sinkage_over_draught	1877.993	2826.102	0.752136	0.0396149	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	602.704	2851.775	0.131950	0.0090372	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	658.228	2844.922	0.158545	0.0106433	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	722.871	2814.451	0.189507	0.0177849	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	741.273	2813.791	0.198321	0.0179397	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	767.916	2810.040	0.211083	0.0188187	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	783.196	2791.327	0.218402	0.0232046	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	808.736	2788.671	0.230635	0.0238271	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	832.923	2757.307	0.242220	0.0311779	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	833.876	2780.805	0.242676	0.0256708	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	848.214	2761.022	0.249544	0.0303073	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	870.782	2758.318	0.260353	0.0309412	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	891.525	2754.906	0.270288	0.0317407	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
C2-free-SL0.3	170	272	262	sinkage_over_draught	895.110	2735.867	0.272006	0.0362030	0.002	0.002	marker_center_clear_or_partly_curve_overlapped
