configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CT	uncertainty_Fn	uncertainty_CT	quality
C2-fixed-SL0.3	139	256	246	CT	1592.467	997.688	0.604261	0.00777375	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1643.662	1030.195	0.628744	0.00751739	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1644.753	1044.376	0.629265	0.00740555	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1666.346	1047.859	0.639592	0.00737808	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1738.779	1048.915	0.674230	0.00736976	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1738.964	1081.101	0.674319	0.00711592	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1807.255	1106.621	0.706976	0.00691466	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1827.849	1104.457	0.716825	0.00693173	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.3	139	256	246	CT	1874.241	1116.433	0.739010	0.00683728	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	724.475	1228.213	0.184527	0.00575068	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	754.043	1281.139	0.198690	0.00533329	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	775.958	1263.961	0.209187	0.00546876	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	819.722	1256.792	0.230149	0.00552530	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	835.890	1250.366	0.237893	0.00557598	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	878.503	1277.206	0.258304	0.00536431	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	913.999	1238.806	0.275305	0.00566714	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	936.727	1178.006	0.286192	0.00614664	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	958.526	1164.730	0.296633	0.00625134	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	978.826	1187.241	0.306356	0.00607381	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1002.745	1223.840	0.317813	0.00578517	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1025.860	1243.319	0.328884	0.00563156	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1073.754	1235.420	0.351825	0.00569385	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1093.787	1209.489	0.361420	0.00589835	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1117.472	1159.885	0.372764	0.00628955	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1137.744	1093.198	0.382474	0.00681548	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1143.500	1112.750	0.385232	0.00666128	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1154.069	1070.339	0.390294	0.00699575	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1184.477	996.903	0.404858	0.00757489	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1215.890	941.827	0.419905	0.00800925	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1257.377	910.666	0.439776	0.00825500	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1293.782	893.278	0.457213	0.00839213	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.4	141	257	247	CT	1313.000	891.000	0.466418	0.00841009	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
