configuration	figure	render_page	printed_page	series	pixel_x	pixel_y	Fn	CWP	uncertainty_Fn	uncertainty_CWP	quality
C2-fixed-SL0.5	144	258	248	CWP	997.404	3181.892	0.324834	0.00096935	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1023.011	3182.396	0.337100	0.00096538	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1053.743	3167.842	0.351820	0.00107999	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1078.010	3128.651	0.363443	0.00138858	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1103.361	3104.560	0.375585	0.00157827	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1128.701	3077.072	0.387723	0.00179471	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1151.607	3038.509	0.398694	0.00209835	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1175.372	3014.139	0.410077	0.00229025	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1217.133	2966.930	0.430080	0.00266197	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1245.552	2922.930	0.443692	0.00300842	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1271.130	2889.481	0.455943	0.00327180	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1282.078	2902.507	0.461187	0.00316924	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1357.188	2806.071	0.497163	0.00392857	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1398.276	2828.175	0.516843	0.00375453	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1422.813	2875.432	0.528596	0.00338242	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1474.541	2897.413	0.553373	0.00320934	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1542.498	2907.902	0.585923	0.00312675	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1635.623	2861.918	0.630527	0.00348884	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1728.359	2893.101	0.674946	0.00324330	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1820.680	2937.975	0.719166	0.00288996	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	1910.962	3027.206	0.762409	0.00218736	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	2002.814	3015.783	0.806404	0.00227730	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
C2-fixed-SL0.5	144	258	248	CWP	2097.955	3025.216	0.851974	0.00220303	0.002	0.00008	marker_center_clear_or_partly_curve_overlapped
