# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 266 and 267; PDF pages 276 and 277; Figures 177, 178, and 179
# pass: A; image-component-assisted, visually checked; no OCR
configuration,attitude,observable,replicate_id,x_px,y_px,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure
s_l_0_5,free,trim,9,925.90,2871.67,0.299366,0.0047207,degree,0.003,0.03000,178
s_l_0_5,free,trim,10,982.26,2859.76,0.326318,0.0890074,degree,0.003,0.03000,178
s_l_0_5,free,trim,11,983.33,2892.25,0.326830,-0.1410307,degree,0.003,0.03000,178
s_l_0_5,free,trim,12,1041.98,2852.22,0.354880,0.1424076,degree,0.003,0.03000,178
s_l_0_5,free,trim,13,1043.19,2838.24,0.355460,0.2414437,degree,0.003,0.03000,178
s_l_0_5,free,trim,14,1098.14,2757.19,0.381738,0.8153574,degree,0.003,0.03000,178
s_l_0_5,free,trim,15,1098.88,2785.04,0.382090,0.6180960,degree,0.003,0.03000,178
s_l_0_5,free,trim,16,1156.45,2713.36,0.409621,1.1256612,degree,0.003,0.03000,178
s_l_0_5,free,trim,17,1156.80,2687.73,0.409789,1.3071664,degree,0.003,0.03000,178
s_l_0_5,free,trim,18,1213.87,2659.19,0.437080,1.5093065,degree,0.003,0.03000,178
s_l_0_5,free,trim,19,1214.90,2621.02,0.437569,1.7795661,degree,0.003,0.03000,178
s_l_0_5,free,trim,20,1271.21,2601.46,0.464501,1.9180911,degree,0.003,0.03000,178
s_l_0_5,free,trim,21,1271.81,2576.54,0.464786,2.0945543,degree,0.003,0.03000,178
s_l_0_5,free,trim,22,1328.83,2551.99,0.492053,2.2683841,degree,0.003,0.03000,178
s_l_0_5,free,trim,23,1329.54,2576.89,0.492395,2.0920801,degree,0.003,0.03000,178
s_l_0_5,free,trim,24,1357.68,2598.78,0.505851,1.9370645,degree,0.003,0.03000,178
s_l_0_5,free,trim,25,1357.79,2522.81,0.505905,2.4749825,degree,0.003,0.03000,178
s_l_0_5,free,trim,26,1386.52,2527.12,0.519641,2.4444335,degree,0.003,0.03000,178
s_l_0_5,free,trim,27,1462.47,2547.69,0.555963,2.2988101,degree,0.003,0.03000,178
s_l_0_5,free,trim,28,1463.38,2582.34,0.556401,2.0534649,degree,0.003,0.03000,178
s_l_0_5,free,trim,29,1537.79,2531.45,0.591982,2.4138113,degree,0.003,0.03000,178
