# source: Mustafa Insel, 1990 PhD thesis
# source_location: printed pages 264,265; Figures 173,174,175
# method: blinded pixel passes, conservative glyph reconciliation; unsnapped Fn
configuration,attitude,observable,replicate_id,fn,value,value_unit,fn_digitization_uncertainty,value_digitization_uncertainty,source_figure,source_printed_page,source_pdf_page,pass_count,adjudication,pass_a_x_px,pass_a_y_px,independent_pass,independent_x_px,independent_y_px
s_l_0_4,free,sinkage_over_draught,24,0.8450173,0.01269397,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,2065.000,2738.000,B,2064.828,2739.350
s_l_0_4,free,sinkage_over_draught,25,0.8763815,0.01900995,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,2131.000,2711.000,B,2130.000,2712.622
s_l_0_4,free,sinkage_over_draught,26,0.9092502,0.01341834,dimensionless,0.002000,0.00200000,174,264,274,2,independent pixel-center match; averaged,2199.000,2737.000,B,2199.464,2734.188
s_l_0_4,free,trim,1,0.1587484,0.20961442,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,630.000,2762.730,B,629.699,2763.166
s_l_0_4,free,trim,2,0.1863639,0.20060737,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,687.510,2765.340,B,687.683,2763.110
s_l_0_4,free,trim,3,0.2143464,0.13348472,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,746.050,2773.250,B,746.172,2774.233
s_l_0_4,free,trim,4,0.2425689,0.14124334,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,804.850,2773.230,B,805.405,2772.053
s_l_0_4,free,trim,5,0.2703025,0.17653448,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,863.110,2767.080,B,863.133,2768.196
s_l_0_4,free,trim,6,0.2983799,0.19442868,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,921.930,2765.520,B,921.739,2764.682
s_l_0_4,free,trim,7,0.3258868,0.04262069,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,979.370,2785.800,B,979.339,2787.448
s_l_0_4,free,trim,8,0.3532919,0.23840243,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1036.720,2758.390,B,1036.603,2759.343
s_l_0_4,free,trim,9,0.4080197,1.50857680,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1151.260,2575.810,B,1150.947,2581.758
s_l_0_4,free,trim,10,0.4365094,1.82701528,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1210.040,2535.970,B,1211.317,2531.303
s_l_0_4,free,trim,11,0.4535859,1.86286716,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1246.850,2528.350,B,1245.925,2528.757
s_l_0_4,free,trim,12,0.4638142,2.27937108,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1267.730,2469.600,B,1267.822,2469.405
s_l_0_4,free,trim,13,0.4853942,2.12279154,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1312.890,2492.010,B,1312.914,2491.394
s_l_0_4,free,trim,14,0.4903972,2.48763715,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1323.460,2439.950,B,1323.268,2440.000
s_l_0_4,free,trim,15,0.5179603,2.43385227,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1381.210,2444.710,B,1380.793,2450.491
s_l_0_4,free,trim,16,0.5186745,2.58955721,degree,0.002000,0.05000000,174,264,274,1+source_recheck,pass_a_missing; accepted conservative pass_b glyph,,,B,1382.495,2425.525
s_l_0_4,free,trim,17,0.5187128,2.20773080,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1382.800,2479.800,B,1382.350,2479.519
s_l_0_4,free,trim,18,0.5551525,2.66395533,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1458.800,2414.260,B,1458.749,2415.694
s_l_0_4,free,trim,19,0.5856423,2.48280212,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1522.360,2441.020,B,1522.704,2440.301
s_l_0_4,free,trim,20,0.5918799,2.69100823,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1535.680,2411.680,B,1535.471,2410.603
s_l_0_4,free,trim,21,0.6296909,2.65574177,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1614.700,2414.370,B,1614.585,2417.913
s_l_0_4,free,trim,22,0.6298980,2.48456191,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1615.450,2439.660,B,1614.701,2441.162
s_l_0_4,free,trim,23,0.6742634,2.68139812,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1711.180,2413.390,B,1704.517,2411.618
s_l_0_4,free,trim,24,0.7044770,2.78874922,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1769.960,2395.940,B,1772.097,2398.628
s_l_0_4,free,trim,25,0.7200087,2.72233542,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1803.980,2408.050,B,1803.034,2405.350
s_l_0_4,free,trim,26,0.7419939,2.86708660,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1849.680,2385.690,B,1849.281,2386.665
s_l_0_4,free,trim,27,0.7646615,2.78461951,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1897.130,2398.570,B,1896.632,2397.169
s_l_0_4,free,trim,28,0.8082582,2.86958699,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,1988.080,2388.270,B,1988.013,2383.376
s_l_0_4,free,trim,29,0.8464084,2.97456113,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,2066.090,2374.220,B,2069.556,2367.660
s_l_0_4,free,trim,30,0.8991323,2.99339694,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,2178.130,2369.170,B,2178.019,2367.369
s_l_0_4,free,trim,31,0.9078894,3.16234796,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,2196.480,2343.890,B,2196.293,2344.742
s_l_0_4,free,trim,32,0.9441689,3.02017829,degree,0.002000,0.05000000,174,264,274,2,independent pixel-center match; averaged,2272.380,2363.440,B,2272.122,2365.505
